id,name,shortName,mode,networkId,impactedObjects
line:IDFM:C02129,3,3,Bus,network:IDFM:6,"[{'type': 'line', 'id': 'line:IDFM:C02129', 'name': '3', 'disruptionIds': ['5f95054a-d707-11ef-b937-0a58a9feac02', 'd47a59a6-d28d-11ef-b937-0a58a9feac02']}]"
line:IDFM:C02137,4,4,Bus,network:IDFM:6,"[{'type': 'line', 'id': 'line:IDFM:C02137', 'name': '4', 'disruptionIds': ['d47a59a6-d28d-11ef-b937-0a58a9feac02']}]"
line:IDFM:C00308,6,6,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00308', 'name': '6', 'disruptionIds': ['1fa74a46-e2cf-11ef-bc92-0a58a9feac02', '7c3bd318-e23d-11ef-8f12-0a58a9feac02']}]"
line:IDFM:C00312,7,7,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00312', 'name': '7', 'disruptionIds': ['7c3bd318-e23d-11ef-8f12-0a58a9feac02', '2781db14-e2fc-11ef-9114-0a58a9feac02']}]"
line:IDFM:C00297,8,8,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00297', 'name': '8', 'disruptionIds': ['7c3bd318-e23d-11ef-8f12-0a58a9feac02']}]"
line:IDFM:C00298,9,9,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00298', 'name': '9', 'disruptionIds': ['7c3bd318-e23d-11ef-8f12-0a58a9feac02', '91ce3a72-dfe0-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00325,12,12,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00325', 'name': '12', 'disruptionIds': ['c8cfc682-5b90-11ef-b754-0a58a9feac02']}]"
line:IDFM:C00306,34,34,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00306', 'name': '34', 'disruptionIds': ['7c3bd318-e23d-11ef-8f12-0a58a9feac02']}]"
line:IDFM:C01492,40,40,Bus,network:IDFM:1054,"[{'type': 'stop_point', 'id': 'stop_point:IDFM:34190', 'name': 'Pages', 'disruptionIds': ['60b66d8e-e2aa-11ef-8b61-0a58a9feac02', '91c3ea86-e2ce-11ef-8f12-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:7936', 'name': 'Commandant Rivière', 'disruptionIds': ['60b66d8e-e2aa-11ef-8b61-0a58a9feac02', '91c3ea86-e2ce-11ef-8f12-0a58a9feac02']}]"
line:IDFM:C00310,502 Scolaire,502,Bus,network:IDFM:1054,"[{'type': 'line', 'id': 'line:IDFM:C00310', 'name': '502 Scolaire', 'disruptionIds': ['9881082c-d996-11ef-aa1a-0a58a9feac02']}]"
